eval_fold,criterion,weights,pr_auc,roc_auc,f1_oracle_rate,f1_fixed_0504
3,pr_auc,"{""cat_recent"": 0.2, ""lgb_neutral"": 0.8}",0.3670444642297626,0.7884640971052865,0.4198749588680487,0.14170692431561996
3,oracle_f1,"{""lgb_neutral"": 0.9, ""lgb_diverse"": 0.1}",0.3642784360164253,0.7859379907299576,0.4124537607891492,0.10741687979539642
3,champion,"{""cat_recent"": 0.7, ""lgb_neutral"": 0.2, ""lgb_diverse"": 0.1}",0.3713463706829165,0.7894108460699722,0.41790123456790124,0.3992047713717694
2,pr_auc,"{""cat_all"": 0.1, ""cat_recent"": 0.3, ""lgb_diverse"": 0.6}",0.42178836150904336,0.7853505631775924,0.42491520197348137,0.39436619718309857
2,oracle_f1,"{""cat_all"": 0.1, ""cat_recent"": 0.1, ""lgb_neutral"": 0.2, ""lgb_diverse"": 0.3, ""lgb_strong"": 0.3}",0.4180538173607213,0.7830907527519033,0.42129032258064514,0.28154724159797084
2,champion,"{""cat_recent"": 0.7, ""lgb_neutral"": 0.2, ""lgb_diverse"": 0.1}",0.41358176481349906,0.7827922978139683,0.4268481286730591,0.41817560642295865
1,pr_auc,"{""cat_all"": 0.4, ""lgb_diverse"": 0.6}",0.4619041327691521,0.7980218118850565,0.4469441319835021,0.432579185520362
1,oracle_f1,"{""cat_all"": 0.5, ""lgb_diverse"": 0.5}",0.46263692716881316,0.7975963981831926,0.4477035893477422,0.44084682440846823
1,champion,"{""cat_recent"": 0.7, ""lgb_neutral"": 0.2, ""lgb_diverse"": 0.1}",0.4598306872828717,0.7940063760210686,0.4423218221895665,0.4375
