fold,variant,roc_auc,pr_auc,f1_fixed_0504,f1_oracle,oracle_rate,prevalence
4,cat_all (1 seed),0.7918956740933485,0.38241958377780294,0.3762769580022701,0.39740995548360986,0.20749395648670427,0.1270480795057749
4,cat_recent (1 seed),0.7943759960969263,0.3829231804394555,0.38161318300086733,0.40406238665215816,0.24281493419285521,0.1270480795057749
4,lgb_neutral (1 seed),0.8035110587087331,0.39359525871847495,0.16246498599439776,0.419317746262936,0.22401289282836423,0.1270480795057749
4,lgb_diverse (1 seed),0.8032778500569198,0.3946761272990422,0.2727272727272727,0.41142416055576997,0.21743217835079237,0.1270480795057749
4,lgb_strong (1 seed),0.7945649699138071,0.3765054309433464,0.11177644710578842,0.39531368102796677,0.2279076013967231,0.1270480795057749
4,cat_all (seed avg),0.7917732964709709,0.3804972373192401,0.37372013651877134,0.3995718872636461,0.24912704807950578,0.1270480795057749
4,cat_recent (seed avg),0.7966857212554885,0.38633179062146883,0.38621887666473653,0.4039709812905689,0.2245500940102068,0.1270480795057749
4,lgb_neutral (seed avg),0.805527565457798,0.39591347598174054,0.15715622076707203,0.4239934264585045,0.20010744023636853,0.1270480795057749
4,lgb_diverse (seed avg),0.804270369165718,0.3940777027449388,0.26666666666666666,0.41670077773229636,0.20131614289551436,0.1270480795057749
4,lgb_strong (seed avg),0.7960084566596195,0.37826917765927065,0.11177644710578842,0.39785358374856267,0.22253558957829708,0.1270480795057749
4,champion blend (1 seed),0.7994508863229794,0.3916910599496611,0.3925637699956766,0.4107013738250181,0.24442653773838302,0.1270480795057749
4,champion blend (seed avg),0.8012750853797366,0.39380401322570946,0.3939130434782609,0.410958904109589,0.22522159548751008,0.1270480795057749
4,equal blend (seed avg),0.8030994470645634,0.3950489445687512,0.34296482412060303,0.41621029572836804,0.24066612946548482,0.1270480795057749
3,cat_all (1 seed),0.7892153058825031,0.37311445605611165,0.4173613107214717,0.4194107452339688,0.3213806070373355,0.14356701584743486
3,cat_recent (1 seed),0.7864909455211542,0.37042377902585627,0.41047062099693676,0.41206896551724137,0.32393231265108785,0.14356701584743486
3,lgb_neutral (1 seed),0.7844088019195503,0.36326324769282076,0.10463121783876501,0.40900791235544737,0.2969379532634972,0.14356701584743486
3,lgb_diverse (1 seed),0.7868530542629155,0.3695818282836268,0.23353699932111338,0.4093123984840282,0.35213537469782435,0.14356701584743486
3,lgb_strong (1 seed),0.7781862085344418,0.3439832155214356,0.056363636363636366,0.4001036537963203,0.37496642492613486,0.14356701584743486
3,cat_all (seed avg),0.7894539734631575,0.37331252665980236,0.41210374639769454,0.41659206207102356,0.306607574536664,0.14356701584743486
3,cat_recent (seed avg),0.7869579389096075,0.36924459007380583,0.4128336172629188,0.41420471501044465,0.2908944399677679,0.14356701584743486
3,lgb_neutral (seed avg),0.7848657469187751,0.36253969967984795,0.09655172413793103,0.41107692307692306,0.2923717432178351,0.14356701584743486
3,lgb_diverse (seed avg),0.7882434726176993,0.37082601001925547,0.23113528212100612,0.4118727050183599,0.2950577491270481,0.14356701584743486
3,lgb_strong (seed avg),0.7795120824912612,0.34674137819721934,0.056363636363636366,0.405152224824356,0.31479989255976365,0.14356701584743486
3,champion blend (1 seed),0.7891212030841073,0.37220313627527446,0.3974613248710829,0.4169252468265162,0.33225893096964815,0.14356701584743486
3,champion blend (seed avg),0.7894108460699722,0.3713463706829165,0.3992047713717694,0.41790123456790124,0.2915659414450712,0.14356701584743486
3,equal blend (seed avg),0.791773024343653,0.3728075094697845,0.29184038117927336,0.42122083732821985,0.2762557077625571,0.14356701584743486
2,cat_all (1 seed),0.7787269542834949,0.4003963402653471,0.4085440707095507,0.4227204783258595,0.2930432446951383,0.1514907332796132
2,cat_recent (1 seed),0.7785140929102711,0.4010256443023257,0.4123046390473828,0.4218705035971223,0.31157668546870804,0.1514907332796132
2,lgb_neutral (1 seed),0.777160942842582,0.4064012298314371,0.18057663125948406,0.41556586933238127,0.22441579371474618,0.1514907332796132
2,lgb_diverse (1 seed),0.7799677803371656,0.4183613951113824,0.3135593220338983,0.4163642362256681,0.23408541498791297,0.1514907332796132
2,lgb_strong (1 seed),0.7646940296664488,0.38706417352936856,0.09941027801179445,0.40868113522537564,0.2504700510341123,0.1514907332796132
2,cat_all (seed avg),0.7803182930005231,0.40667662689648154,0.413988171766521,0.42365097588978184,0.31694869728713404,0.1514907332796132
2,cat_recent (seed avg),0.7796404901901356,0.4040590851322013,0.4121088781480539,0.42427958307786634,0.28713403169486973,0.1514907332796132
2,lgb_neutral (seed avg),0.7781579675541456,0.4087435771511694,0.1841903300076746,0.41854714064914994,0.28256782164920763,0.1514907332796132
2,lgb_diverse (seed avg),0.7815137965600929,0.41903612032511495,0.30638297872340425,0.4182834593883591,0.2526188557614827,0.1514907332796132
2,lgb_strong (seed avg),0.7673964009168895,0.38770226283130876,0.09941027801179445,0.40717488789237666,0.2977437550362611,0.1514907332796132
2,champion blend (1 seed),0.7820956223241488,0.41136706169446174,0.41618887015177064,0.4267477203647416,0.290088638195004,0.1514907332796132
2,champion blend (seed avg),0.7827922978139683,0.41358176481349906,0.41817560642295865,0.4265842349304482,0.28270212194466826,0.1514907332796132
2,equal blend (seed avg),0.7837057635619494,0.41715959296854566,0.3637269556552068,0.42681094078749626,0.2950577491270481,0.1514907332796132
1,cat_all (1 seed),0.7908629374369673,0.45057170936521634,0.40583554376657827,0.4407033295922185,0.21206016653236637,0.14679022293849048
1,cat_recent (1 seed),0.7888682886632145,0.4491863538126981,0.4004014049172102,0.44028103044496486,0.1963470319634703,0.14679022293849048
1,lgb_neutral (1 seed),0.7927010443373533,0.45053021104071506,0.23547637490317583,0.4363784665579119,0.19889873757722268,0.14679022293849048
1,lgb_diverse (1 seed),0.7944510154267911,0.45150861574384976,0.3567567567567568,0.4409388226240862,0.20212194466827826,0.14679022293849048
1,lgb_strong (1 seed),0.7793305393897229,0.41724437099164746,0.09082969432314411,0.4277534523408555,0.2520816545796401,0.14679022293849048
1,cat_all (seed avg),0.7910317203951884,0.45112341192002087,0.4043744998666311,0.4407158836689038,0.21326886919151222,0.14679022293849048
1,cat_recent (seed avg),0.7903598288494719,0.4525904745859511,0.40040444893832156,0.4371759074591145,0.18976631748589848,0.14679022293849048
1,lgb_neutral (seed avg),0.7942329801036286,0.4535353024844325,0.2211764705882353,0.4375229021619641,0.2199838839645447,0.14679022293849048
1,lgb_diverse (seed avg),0.7955892202990598,0.4551777958586502,0.3520097442143727,0.44110275689223055,0.22683319903303786,0.14679022293849048
1,lgb_strong (seed avg),0.7805946114168422,0.42247678961545165,0.0924956369982548,0.42773207990599293,0.19661563255439163,0.14679022293849048
1,champion blend (1 seed),0.7927787392229849,0.4578686028407493,0.4334038054968288,0.4404858299595142,0.18143969916733818,0.14679022293849048
1,champion blend (seed avg),0.7940063760210686,0.4598306872828717,0.4375,0.4420742920191247,0.21877518130539886,0.14679022293849048
1,equal blend (seed avg),0.7962718407956187,0.45974430002072886,0.4110169491525424,0.4450222882615156,0.21501477303250066,0.14679022293849048
