blend,eval_fold,history_folds,prevalence_history,prevalence_eval,f1_fixed_0504,f1_threshold_from_history,f1_rate_from_history,f1_rate_prevalence_scaled,f1_plugin_known_prevalence,f1_plugin_estimated_prevalence,f1_oracle,threshold_from_history,rate_from_history,rate_prevalence_scaled,rate_plugin,rate_plugin_blind,plugin_f1_estimate,plugin_f1_estimate_blind,rate_fixed_0504,oracle_rate
champion 0.70/0.20/0.10,3,4,0.1270480795057749,0.14356701584743486,0.3992047713717694,0.4105960264900662,0.40349599417334303,0.4116059379217274,0.4119800332778702,0.4090909090909091,0.41790123456790124,0.46854076646516674,0.22522159548751008,0.25450516445681637,0.26000537201181845,0.24053182917002416,0.4216752671330695,0.4296808481214349,0.19419822723609992,0.2915659414450712
champion 0.70/0.20/0.10,2,"4,3",0.13530754767660488,0.1514907332796132,0.41817560642295865,0.42413162705667273,0.42273180458624127,0.4265842349304482,0.42413162705667273,0.42519219396806623,0.4268481286730591,0.464439349537851,0.252686005909213,0.2829080046308608,0.2892828364222401,0.30271286596830516,0.472414161892123,0.4588231685265279,0.2416062315337094,0.28270212194466826
champion 0.70/0.20/0.10,1,"4,3,2",0.14070194287760768,0.14679022293849048,0.4375,0.42212257100149475,0.4309677419354839,0.4268675455116133,0.42221558674231113,0.42221558674231113,0.4423218221895665,0.45504291685622117,0.269495926224371,0.2811572198821866,0.3029814665592264,0.3029814665592264,0.4494004580931709,0.4396436802381872,0.23139940907869996,0.21877518130539886
equal blend,3,4,0.1270480795057749,0.14356701584743486,0.29184038117927336,0.41639557579700714,0.4171907756813417,0.4188752424046542,0.41639557579700714,0.41639557579700714,0.4216250799744082,0.3718551217269683,0.24066612946548482,0.2719578143748449,0.2692720923986033,0.2692720923986033,0.4349185867465381,0.43920979267810434,0.08192318023099651,0.2762557077625571
equal blend,2,"4,3",0.13530754767660488,0.1514907332796132,0.3637269556552068,0.42349486049926577,0.41788143828960156,0.4269798253538091,0.42349486049926577,0.42349486049926577,0.4270676691729323,0.36621271772083597,0.2630942788074134,0.29456113796006184,0.3058017727639001,0.3058017727639001,0.47491870948279097,0.462861002134062,0.11804995970991136,0.2950577491270481
equal blend,1,"4,3,2",0.14070194287760768,0.14679022293849048,0.4110169491525424,0.4261330194231901,0.4325522482583914,0.42870341854019095,0.4271553018924602,0.4271553018924602,0.44543429844098,0.3653488940939992,0.27733011012624226,0.2893303948787618,0.30029546065001345,0.30029546065001345,0.45314895378118547,0.4440511429993663,0.10676873489121676,0.21501477303250066
