half_life_days,l2_leaf_reg,seed,f1,threshold,weight_cat_all,weight_cat_recent,weight_lgb_idte,positive_rate,positive_predictions,best_iteration_recency,baseline_cat_all_iteration,baseline_lgb_iteration,timestamp_utc
90,9,777,0.44383184011026877,0.6120000000000001,0.0,0.9999999999999999,0.0,0.20927364656554445,1697,213,200,15,2026-08-13T16:11:03.537579+00:00
90,9,2027,0.4435590969455511,0.528,0.4,0.4,0.2,0.2228388210630164,1807,358,200,15,2026-08-13T16:11:17.419235+00:00
90,9,1337,0.44321148825065276,0.5,0.1,0.6,0.3,0.22925144900727587,1859,247,200,15,2026-08-13T16:11:28.621910+00:00
105,3,42,0.44379276637341153,0.532,0.4,0.4,0.2,0.22986804784807005,1864,222,200,15,2026-08-13T16:11:39.366009+00:00
105,3,2026,0.4410895963242534,0.5640000000000001,0.5,0.4,0.1,0.22715501294857565,1842,225,200,15,2026-08-13T16:11:50.354282+00:00
105,3,777,0.43849585723390694,0.49600000000000005,0.30000000000000004,0.4,0.3,0.23837711185102972,1933,207,200,15,2026-08-13T16:12:01.195325+00:00
105,3,2027,0.4420772303595206,0.5640000000000001,0.5,0.4,0.1,0.2218522629177457,1799,255,200,15,2026-08-13T16:12:12.580375+00:00
105,3,1337,0.43880786303107167,0.5840000000000001,0.5,0.5,0.0,0.2403502281415711,1949,221,200,15,2026-08-13T16:12:23.033357+00:00
105,5,42,0.4416260162601626,0.528,0.4,0.4,0.2,0.23060796645702306,1870,271,200,15,2026-08-13T16:12:34.800049+00:00
105,5,2026,0.4400656814449918,0.504,0.2,0.5,0.3,0.22690837341225797,1840,189,200,15,2026-08-13T16:12:44.249400+00:00
105,5,777,0.44191496484767323,0.44,0.0,0.5,0.5,0.21975582685904552,1782,244,200,15,2026-08-13T16:12:54.916798+00:00
105,5,2027,0.4381460486828943,0.5960000000000001,0.5,0.5,0.0,0.22123566407695153,1794,224,200,15,2026-08-13T16:13:05.083436+00:00
105,5,1337,0.43764099258781824,0.528,0.4,0.4,0.2,0.23406091996547046,1898,200,200,15,2026-08-13T16:13:14.706622+00:00
105,7,42,0.44148936170212766,0.6000000000000001,0.30000000000000004,0.7,0.0,0.22234554199038106,1803,237,200,15,2026-08-13T16:13:25.280253+00:00
105,7,2026,0.4432078559738134,0.5640000000000001,0.2,0.7,0.1,0.22814157109384633,1850,246,200,15,2026-08-13T16:13:36.156095+00:00
105,7,777,0.43899289864428664,0.556,0.5,0.4,0.1,0.23344432112467628,1893,307,200,15,2026-08-13T16:13:48.485550+00:00
105,7,2027,0.44007029876977155,0.516,0.0,0.7,0.3,0.20224441978049082,1640,224,200,15,2026-08-13T16:13:58.986913+00:00
105,7,1337,0.44294871794871793,0.524,0.4,0.4,0.2,0.23615735602417068,1915,282,200,15,2026-08-13T16:14:10.801572+00:00
105,9,42,0.4487440597420231,0.5720000000000001,0.0,0.8999999999999999,0.1,0.21469971636453322,1741,288,200,15,2026-08-13T16:14:22.840155+00:00
105,9,2026,0.44212585588522985,0.5960000000000001,0.2,0.7999999999999999,0.0,0.22962140831175237,1862,260,200,15,2026-08-13T16:14:34.106363+00:00
105,9,777,0.44668008048289737,0.47200000000000003,0.0,0.6,0.4,0.21913922801825134,1777,327,200,15,2026-08-13T16:14:46.850782+00:00
105,9,2027,0.44563279857397503,0.544,0.0,0.7999999999999999,0.2,0.19731162905413738,1600,322,200,15,2026-08-13T16:14:59.519523+00:00
105,9,1337,0.44163424124513617,0.46,0.0,0.6,0.4,0.2317178443704526,1879,307,200,15,2026-08-13T16:15:11.865878+00:00
120,3,42,0.4443000974342319,0.532,0.4,0.4,0.2,0.2311012455296584,1874,184,200,15,2026-08-13T16:15:21.001508+00:00
120,3,2026,0.4428617675623179,0.532,0.4,0.4,0.2,0.23233444321124677,1884,236,200,15,2026-08-13T16:15:31.414649+00:00
120,3,777,0.4440052700922266,0.5920000000000001,0.4,0.6,0.0,0.22579849549882847,1831,258,200,15,2026-08-13T16:15:42.465668+00:00
120,3,2027,0.4400383754397186,0.532,0.4,0.4,0.2,0.23702059440128254,1922,195,200,15,2026-08-13T16:15:51.876406+00:00
120,3,1337,0.4442953020134228,0.5680000000000001,0.1,0.7999999999999999,0.1,0.21889258848193366,1775,284,200,15,2026-08-13T16:16:03.296321+00:00
120,5,42,0.44263893402664933,0.49600000000000005,0.1,0.6,0.3,0.23085460599334073,1872,269,200,15,2026-08-13T16:16:14.525383+00:00
120,5,2026,0.4445905951989477,0.528,0.4,0.4,0.2,0.22641509433962265,1836,311,200,15,2026-08-13T16:16:26.777640+00:00
120,5,777,0.4397705544933078,0.528,0.4,0.4,0.2,0.23837711185102972,1933,167,200,15,2026-08-13T16:16:35.584632+00:00
120,5,2027,0.44269521410579343,0.524,0.30000000000000004,0.5,0.2,0.24306326304106549,1971,238,200,15,2026-08-13T16:16:46.064886+00:00
120,5,1337,0.44168900804289546,0.444,0.0,0.5,0.5,0.219385867554569,1779,196,200,15,2026-08-13T16:16:55.530931+00:00
120,7,42,0.43722397476340696,0.552,0.5,0.4,0.1,0.24232334443211248,1965,208,200,15,2026-08-13T16:17:05.320597+00:00
120,7,2026,0.44192817858298283,0.5960000000000001,0.5,0.5,0.0,0.23258108274756442,1886,226,200,15,2026-08-13T16:17:15.617489+00:00
120,7,777,0.4420103092783505,0.5960000000000001,0.5,0.5,0.0,0.2341842397336293,1899,216,200,15,2026-08-13T16:17:25.493372+00:00
120,7,2027,0.44039735099337746,0.464,0.0,0.6,0.4,0.2238253792082871,1815,301,200,15,2026-08-13T16:17:37.517430+00:00
120,7,1337,0.44349540078843624,0.5,0.30000000000000004,0.4,0.3,0.22678505364409915,1839,293,200,15,2026-08-13T16:17:49.318816+00:00
120,9,42,0.44291789335950277,0.5920000000000001,0.30000000000000004,0.7,0.0,0.228388210630164,1852,302,200,15,2026-08-13T16:18:01.428245+00:00
120,9,2026,0.4433768016472203,0.544,0.30000000000000004,0.5,0.2,0.2107534837834505,1709,246,200,15,2026-08-13T16:18:12.126700+00:00
